ticker,date,period_ending,estimate,reported,surprise,surprise%
CROX,04-AUG-22,Jun 2022,2.72,3.24,0.52,19.12
MHK,28-JUL-22,Jun 2022,4.35,4.41,0.06,1.38
VAC,08-AUG-22,Jun 2022,2.28,2.87,0.59,25.88
TPX,27-JUL-22,Jun 2022,0.57,0.58,0.01,1.75
BLD,02-AUG-22,Jun 2022,3.77,4.43,0.66,17.51
TOL,23-AUG-22,Jul 2022,2.3,2.35,0.05,2.17
NWL,29-JUL-22,Jun 2022,0.47,0.57,0.1,21.28
SKX,26-JUL-22,Jun 2022,0.54,0.58,0.04,7.41
LEG,01-AUG-22,Jun 2022,0.7,0.7,0.0,0.0
H,09-AUG-22,Jun 2022,-0.01,0.46,0.47,4700.0
WING,28-JUL-22,Jun 2022,0.35,0.45,0.1,28.57
BYD,26-JUL-22,Jun 2022,1.38,1.48,0.1,7.25
THO,28-SEP-22,Jul 2022,4.13,5.15,1.02,24.7
BFAM,02-AUG-22,Jun 2022,0.68,0.71,0.03,4.41
DKNG,05-AUG-22,Jun 2022,-0.87,-0.5,0.37,42.53
AN,21-JUL-22,Jun 2022,5.96,6.48,0.52,8.72
CHH,04-AUG-22,Jun 2022,1.47,1.43,-0.04,-2.72
FOXF,04-AUG-22,Jun 2022,1.22,1.38,0.16,13.11
PVH,30-AUG-22,Jul 2022,2.01,2.08,0.07,3.48
RL,09-AUG-22,Jun 2022,1.72,1.88,0.16,9.3
ABG,28-JUL-22,Jun 2022,8.88,10.04,1.16,13.06
HGV,09-AUG-22,Jun 2022,0.81,0.6,-0.21,-25.93
WEN,10-AUG-22,Jun 2022,0.22,0.24,0.02,9.09
VC,28-JUL-22,Jun 2022,0.54,1.34,0.8,148.15
KSS,18-AUG-22,Jul 2022,1.08,1.11,0.03,2.78
ADNT,05-AUG-22,Jun 2022,-0.02,0.08,0.1,500.0
YETI,04-AUG-22,Jun 2022,0.68,0.63,-0.05,-7.35
ASO,07-SEP-22,Jul 2022,2.07,2.3,0.23,11.11
OLLI,01-SEP-22,Jul 2022,0.33,0.22,-0.11,-33.33
CHGG,04-AUG-22,Jun 2022,0.33,0.37,0.04,12.12
PAG,27-JUL-22,Jun 2022,4.35,4.93,0.58,13.33
LOPE,04-AUG-22,Jun 2022,0.84,0.85,0.01,1.19
TNL,28-JUL-22,Jun 2022,1.2,1.27,0.07,5.83
SIG,01-SEP-22,Jul 2022,2.54,2.68,0.14,5.51
EYE,11-AUG-22,Jun 2022,0.08,0.21,0.13,162.5
TMHC,27-JUL-22,Jun 2022,1.82,2.27,0.45,24.73
GPI,27-JUL-22,Jun 2022,10.56,12.0,1.44,13.64
GT,05-AUG-22,Jun 2022,0.43,0.46,0.03,6.98
PTON,25-AUG-22,Jun 2022,-0.71,-1.32,-0.61,-85.92
COLM,27-JUL-22,Jun 2022,0.04,0.11,0.07,175.0
SKY,02-AUG-22,Jun 2022,1.58,2.04,0.46,29.11
MTH,27-JUL-22,Jun 2022,5.81,6.77,0.96,16.52
W,04-AUG-22,Jun 2022,-1.89,-1.94,-0.05,-2.65
PZZA,04-AUG-22,Jun 2022,0.73,0.74,0.01,1.37
LCII,02-AUG-22,Jun 2022,5.17,6.06,0.89,17.21
SHOO,27-JUL-22,Jun 2022,0.59,0.63,0.04,6.78
CRI,29-JUL-22,Jun 2022,1.63,1.3,-0.33,-20.25
CBRL,27-SEP-22,Jul 2022,1.38,1.57,0.19,13.77
FL,19-AUG-22,Jul 2022,0.75,1.1,0.35,46.67
SEAS,04-AUG-22,Jun 2022,1.59,1.62,0.03,1.89
LESL,05-AUG-22,Jun 2022,0.74,0.68,-0.06,-8.11
HBI,11-AUG-22,Jun 2022,0.33,0.28,-0.05,-15.15
RRR,09-AUG-22,Jun 2022,0.52,1.27,0.75,144.23
ADT,04-AUG-22,Jun 2022,0.05,0.06,0.01,20.0
KBH,22-JUN-22,May 2022,1.97,2.32,0.35,17.77
DORM,25-JUL-22,Jun 2022,1.29,1.29,0.0,0.0
GPS,25-AUG-22,Jul 2022,-0.04,0.08,0.12,300.0
HELE,07-JUL-22,May 2022,1.94,2.41,0.47,24.23
DAN,03-AUG-22,Jun 2022,0.21,0.08,-0.13,-61.9
THRM,02-AUG-22,Jun 2022,0.41,0.25,-0.16,-39.02
JWN,23-AUG-22,Jul 2022,0.8,0.81,0.01,1.25
IGT,02-AUG-22,Jun 2022,0.31,0.57,0.26,83.87
BLMN,29-JUL-22,Jun 2022,0.63,0.68,0.05,7.94
LGIH,02-AUG-22,Jun 2022,4.47,5.2,0.73,16.33
CVCO,04-AUG-22,Jun 2022,3.95,6.63,2.68,67.85
FTDR,04-AUG-22,Jun 2022,0.57,0.53,-0.04,-7.02
TPH,21-JUL-22,Jun 2022,1.12,1.33,0.21,18.75
ATGE,11-AUG-22,Jun 2022,1.28,1.31,0.03,2.34
KTB,04-AUG-22,Jun 2022,1.04,1.09,0.05,4.81
IBP,04-AUG-22,Jun 2022,1.96,2.48,0.52,26.53
LAZR,08-AUG-22,Jun 2022,-0.17,-0.18,-0.01,-5.88
PLAY,07-SEP-22,Jul 2022,1.01,0.61,-0.4,-39.6
BOOT,27-JUL-22,Jun 2022,1.15,1.26,0.11,9.57
WGO,22-JUN-22,May 2022,3.01,4.13,1.12,37.21
MDC,28-JUL-22,Jun 2022,2.43,2.59,0.16,6.58
OXM,01-SEP-22,Jul 2022,3.45,3.61,0.16,4.64
JACK,10-AUG-22,Jun 2022,1.43,1.38,-0.05,-3.5
COUR,27-JUL-22,Jun 2022,-0.14,-0.15,-0.01,-7.14
STRA,27-JUL-22,Jun 2022,0.88,0.85,-0.03,-3.41
URBN,23-AUG-22,Jul 2022,0.67,0.64,-0.03,-4.48
SIX,11-AUG-22,Jun 2022,0.98,0.69,-0.29,-29.59
QS,27-JUL-22,Jun 2022,-0.22,-0.22,0.0,0.0
AEO,07-SEP-22,Jul 2022,0.13,0.04,-0.09,-69.23
UAA,03-AUG-22,Jun 2022,0.03,0.03,0.0,0.0
XPEL,09-AUG-22,Jun 2022,0.33,0.43,0.1,30.3
TEN,04-AUG-22,Jun 2022,0.52,-0.82,-1.34,-257.69
GOLF,04-AUG-22,Jun 2022,0.72,0.91,0.19,26.39
CAKE,27-JUL-22,Jun 2022,0.78,0.52,-0.26,-33.33
EVRI,03-AUG-22,Jun 2022,0.33,0.33,0.0,0.0
VSTO,27-JUL-22,Jun 2022,1.92,2.31,0.39,20.31
MNRO,27-JUL-22,Jun 2022,0.28,0.42,0.14,50.0
RCII,03-AUG-22,Jun 2022,1.0,1.15,0.15,15.0
IRBT,05-AUG-22,Jun 2022,-1.59,-0.35,1.24,77.99
EAT,24-AUG-22,Jun 2022,1.16,1.15,-0.01,-0.86
LRN,09-AUG-22,Jun 2022,0.63,0.66,0.03,4.76
SG,09-AUG-22,Jun 2022,-0.39,-0.36,0.03,7.69
SBH,04-AUG-22,Jun 2022,0.59,0.55,-0.04,-6.78
CCS,27-JUL-22,Jun 2022,4.47,4.78,0.31,6.94
DIN,09-AUG-22,Jun 2022,1.58,1.65,0.07,4.43
DDS,11-AUG-22,Jul 2022,2.88,9.3,6.42,222.92
MHO,27-JUL-22,Jun 2022,3.78,4.79,1.01,26.72
LZB,23-AUG-22,Jul 2022,0.68,0.91,0.23,33.82
FSR,03-AUG-22,Jun 2022,-0.41,-0.36,0.05,12.2
PATK,28-JUL-22,Jun 2022,3.42,5.31,1.89,55.26
CWH,02-AUG-22,Jun 2022,1.87,2.16,0.29,15.51
LAUR,04-AUG-22,Jun 2022,0.42,0.25,-0.17,-40.48
POSH,11-AUG-22,Jun 2022,-0.26,-0.29,-0.03,-11.54
MBUU,25-AUG-22,Jun 2022,2.31,2.43,0.12,5.19
MCRI,20-JUL-22,Jun 2022,1.08,1.11,0.03,2.78
PRDO,08-AUG-22,Jun 2022,0.37,0.42,0.05,13.51
AXL,05-AUG-22,Jun 2022,0.12,0.22,0.1,83.33
OSTK,28-JUL-22,Jun 2022,0.32,0.19,-0.13,-40.63
CVNA,04-AUG-22,Jun 2022,-1.81,-2.35,-0.54,-29.83
CAL,23-AUG-22,Jul 2022,1.32,1.38,0.06,4.55
SAH,28-JUL-22,Jun 2022,2.52,2.45,-0.07,-2.78
DBI,31-AUG-22,Jul 2022,0.51,0.62,0.11,21.57
BKE,19-AUG-22,Jul 2022,0.93,1.01,0.08,8.6
WWW,10-AUG-22,Jun 2022,0.64,0.66,0.02,3.13
ANF,25-AUG-22,Jul 2022,0.23,-0.3,-0.53,-230.43
HIBB,25-AUG-22,Jul 2022,2.26,1.86,-0.4,-17.7
WOOF,24-AUG-22,Jul 2022,0.23,0.19,-0.04,-17.39
MOD,03-AUG-22,Jun 2022,0.12,0.32,0.2,166.67
RICK,09-AUG-22,Jun 2022,1.33,1.6,0.27,20.3
RVLV,03-AUG-22,Jun 2022,0.3,0.22,-0.08,-26.67
GDEN,04-AUG-22,Jun 2022,0.9,0.7,-0.2,-22.22
DENN,02-AUG-22,Jun 2022,0.14,0.11,-0.03,-21.43
CHS,31-AUG-22,Jul 2022,0.25,0.34,0.09,36.0
VZIO,10-AUG-22,Jun 2022,-0.03,0.01,0.04,133.33
GIII,07-SEP-22,Jul 2022,0.47,0.39,-0.08,-17.02
TA,01-AUG-22,Jun 2022,1.11,4.34,3.23,290.99
FRG,04-AUG-22,Jun 2022,1.23,1.19,-0.04,-3.25
SMP,03-AUG-22,Jun 2022,1.21,0.93,-0.28,-23.14
GRBK,03-AUG-22,Jun 2022,1.23,2.08,0.85,69.11
ARKO,08-AUG-22,Jun 2022,0.2,0.24,0.04,20.0
BJRI,21-JUL-22,Jun 2022,0.23,0.1,-0.13,-56.52
BALY,04-AUG-22,Jun 2022,0.25,0.32,0.07,28.0
CHUY,04-AUG-22,Jun 2022,0.43,0.44,0.01,2.33
QRTEA,05-AUG-22,Jun 2022,0.21,0.12,-0.09,-42.86
HZO,28-JUL-22,Jun 2022,3.08,3.17,0.09,2.92
SNBR,27-JUL-22,Jun 2022,0.62,1.54,0.92,148.39
GES,24-AUG-22,Jul 2022,0.41,0.39,-0.02,-4.88
BIG,30-AUG-22,Jul 2022,-2.39,-2.28,0.11,4.6
GPRO,04-AUG-22,Jun 2022,0.06,0.08,0.02,33.33
SRI,03-AUG-22,Jun 2022,-0.21,-0.29,-0.08,-38.1
